Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9476923076923077,0.9476954066158751,0.9476923076923077,0.947693497844672
Decision Tree,1.0,1.0,1.0,1.0
Random Forest,1.0,1.0,1.0,1.0
